Shipping Label ID,Weight (lb),State,Label Cost,FirstMile_Cost,Savings,Savings_Pct
495186484,0.069375,CA,3.85,3.29,0.56,14.5
495187408,0.069375,CA,3.84,3.29,0.5499999999999998,14.3
495188098,0.065,NJ,3.87,3.32,0.5500000000000003,14.2
495188409,0.069375,TX,4.4,3.29,1.1100000000000003,25.2
495188726,0.46125,CA,3.89,3.53,0.3600000000000003,9.3
495188886,0.265,IL,4.42,3.52,0.8999999999999999,20.4
495190912,0.57125,TN,5.11,5.1,0.010000000000000675,0.2
495192419,0.94,TX,5.69,4.36,1.33,23.4
495192987,0.77125,NC,5.53,5.92,-0.3899999999999997,-7.1
495193367,0.07375,PA,4.42,4.07,0.34999999999999964,7.9
495193748,0.22125,RI,3.88,4.07,-0.1900000000000004,-4.9
495194115,0.57125,FL,5.28,4.07,1.21,22.9
495194131,0.57125,CA,4.71,3.91,0.7999999999999998,17.0
495194344,0.57125,NJ,5.28,4.07,1.21,22.9
495194633,0.77125,NV,4.92,5.27,-0.34999999999999964,-7.1
495195508,0.57125,IN,5.66,5.1,0.5600000000000005,9.9
495195758,0.65125,IL,5.19,4.18,1.0100000000000007,19.5
495195839,0.65125,MD,5.38,5.13,0.25,4.6
495196863,0.125,FL,3.87,3.32,0.5500000000000003,14.2
495197417,0.32,SC,3.89,4.35,-0.4599999999999995,-11.8
495197965,0.53125,WA,4.86,3.9,0.9600000000000004,19.8
495198054,0.125,PA,3.87,4.07,-0.20000000000000018,-5.2
495198520,0.125,FL,3.87,3.32,0.5500000000000003,14.2
495198626,0.109375,OR,4.39,3.93,0.4599999999999995,10.5
495199195,0.113125,NV,3.84,3.92,-0.08000000000000007,-2.1
495199625,0.125,CA,3.84,3.29,0.5499999999999998,14.3
495199825,0.069375,MA,3.87,3.32,0.5500000000000003,14.2
495200158,0.235,TX,3.86,3.41,0.44999999999999973,11.7
495200207,0.069375,CA,3.84,3.29,0.5499999999999998,14.3
495200567,0.065,TX,3.85,3.29,0.56,14.5
495201073,0.1725,NV,3.84,3.92,-0.08000000000000007,-2.1
495201561,0.75,CA,4.78,4.0,0.7800000000000002,16.3
495202647,0.265,NH,4.44,4.35,0.09000000000000075,2.0
495203008,0.069375,TX,3.85,3.29,0.56,14.5
495203313,0.265,OR,3.86,4.24,-0.38000000000000034,-9.8
495203593,0.069375,CA,3.84,3.29,0.5499999999999998,14.3
495204446,0.069375,AL,3.86,4.07,-0.2100000000000004,-5.4
495205221,0.53125,WI,5.06,5.1,-0.040000000000000036,-0.8
495205467,0.069375,NC,4.41,4.07,0.33999999999999986,7.7
495206039,0.069375,TN,3.85,4.07,-0.2200000000000002,-5.7
495206132,0.069375,CA,3.84,3.29,0.5499999999999998,14.3
495206429,0.069375,TX,4.4,3.29,1.1100000000000003,25.2
495206649,0.53125,WA,4.86,3.9,0.9600000000000004,19.8
495206976,0.02,TN,4.4,4.07,0.33000000000000007,7.5
495207137,0.53125,CA,4.69,3.9,0.7900000000000005,16.8
495207701,0.605,VA,5.83,5.1,0.7300000000000004,12.5
495207966,0.59,CA,4.71,3.91,0.7999999999999998,17.0
495208599,0.69875,FL,5.48,4.24,1.2400000000000002,22.6
495208872,0.113125,CA,3.85,3.29,0.56,14.5
495209490,0.069375,NJ,3.87,3.32,0.5500000000000003,14.2
495209584,0.069375,AZ,3.84,3.27,0.5699999999999998,14.8
495209807,0.069375,TN,3.86,4.07,-0.2100000000000004,-5.4
495209899,0.069375,NJ,3.87,3.32,0.5500000000000003,14.2
495210457,0.069375,AZ,3.84,3.27,0.5699999999999998,14.8
495210525,1.205,CO,5.1,5.63,-0.5300000000000002,-10.4
495211444,0.27,NY,4.44,3.52,0.9200000000000004,20.7
495211988,0.069375,VA,3.87,4.07,-0.20000000000000018,-5.2
495212047,0.22125,CA,3.85,3.39,0.45999999999999996,11.9
495212335,0.069375,NC,3.87,4.07,-0.20000000000000018,-5.2
495212417,0.57125,TX,5.11,4.0,1.1100000000000003,21.7
495212793,0.65125,IL,5.19,4.18,1.0100000000000007,19.5
495212903,0.254375,AZ,3.86,3.39,0.46999999999999975,12.2
495213312,0.57125,CO,4.71,4.86,-0.15000000000000036,-3.2
495213340,0.069375,FL,3.87,3.32,0.5500000000000003,14.2
495214104,0.46125,GA,3.9,3.68,0.21999999999999975,5.6
495214111,0.610625,CA,5.26,3.91,1.3499999999999996,25.7
495214771,0.245,NJ,3.88,3.45,0.4299999999999997,11.1
495214787,0.77125,TX,5.19,4.2,0.9900000000000002,19.1
495215481,0.57125,OH,5.17,5.1,0.07000000000000028,1.4
495215684,0.22125,PA,3.88,4.07,-0.1900000000000004,-4.9
495215915,0.135,WI,3.85,4.07,-0.2200000000000002,-5.7
495216114,0.225,TX,3.86,3.41,0.44999999999999973,11.7
495216295,0.07375,CA,3.85,3.29,0.56,14.5
495216732,0.07375,NE,3.85,4.02,-0.16999999999999948,-4.4
495216853,0.069375,WY,4.39,3.92,0.46999999999999975,10.7
495217241,0.065,CA,3.84,3.29,0.5499999999999998,14.3
495217420,0.265,CA,3.86,3.44,0.41999999999999993,10.9
495217611,0.26125,AZ,3.86,3.39,0.46999999999999975,12.2
495217952,0.058125,UT,4.38,3.86,0.52,11.9
495218349,0.069375,WA,3.85,3.29,0.56,14.5
495219146,0.75,CA,5.57,4.0,1.5700000000000003,28.2
495219236,0.069375,NY,3.87,3.32,0.5500000000000003,14.2
495219756,0.058125,FL,3.86,3.24,0.6199999999999997,16.1
495220202,0.069375,IA,3.85,4.07,-0.2200000000000002,-5.7
495220431,0.46125,CA,4.43,3.53,0.8999999999999999,20.3
495220570,0.069375,NC,3.87,4.07,-0.20000000000000018,-5.2
495220977,0.069375,AR,4.4,4.07,0.33000000000000007,7.5
495221093,0.309375,WA,3.87,3.44,0.43000000000000016,11.1
495221869,0.26125,LA,3.87,4.35,-0.47999999999999954,-12.4
495222392,0.46125,CA,3.88,3.53,0.3500000000000001,9.0
495222515,0.46125,AZ,4.43,3.46,0.9699999999999998,21.9
495222972,0.265,SD,4.41,4.35,0.0600000000000005,1.4
495223014,0.069375,FL,3.87,3.32,0.5500000000000003,14.2
495223509,0.069375,GA,4.41,3.32,1.0900000000000003,24.7
495223893,0.069375,MA,3.87,3.32,0.5500000000000003,14.2
495224365,0.069375,TN,3.86,4.07,-0.2100000000000004,-5.4
495224608,0.69125,FL,5.48,4.24,1.2400000000000002,22.6
495224946,0.069375,NY,3.87,3.32,0.5500000000000003,14.2
495225306,0.22125,FL,3.88,3.45,0.4299999999999997,11.1
495225351,0.069375,MD,3.87,4.07,-0.20000000000000018,-5.2
495225658,0.57125,WA,4.91,3.91,1.0,20.4
495252353,0.069375,NJ,3.87,3.32,0.5500000000000003,14.2
495252804,0.058125,KY,3.85,4.07,-0.2200000000000002,-5.7
495253527,0.254375,GA,4.43,3.52,0.9099999999999997,20.5
495253923,0.215,TX,3.86,3.41,0.44999999999999973,11.7
495254222,0.125,NY,3.86,3.32,0.54,14.0
495254649,0.125,MA,3.87,3.32,0.5500000000000003,14.2
495255420,0.07375,NJ,3.87,3.32,0.5500000000000003,14.2
495255509,0.81625,OR,4.94,5.56,-0.6199999999999992,-12.6
495255875,0.02,NY,3.86,3.24,0.6199999999999997,16.1
495256136,0.7,GA,5.34,4.24,1.0999999999999996,20.6
495256629,0.069375,NM,3.84,3.93,-0.0900000000000003,-2.3
495256846,0.225,TX,3.86,3.41,0.44999999999999973,11.7
495256945,0.058125,NC,3.85,4.07,-0.2200000000000002,-5.7
495257408,0.57125,PA,5.28,5.1,0.1800000000000006,3.4
495257538,0.069375,CO,3.84,3.92,-0.08000000000000007,-2.1
495258056,0.07375,MI,4.4,4.07,0.33000000000000007,7.5
495258269,0.069375,FL,3.87,3.32,0.5500000000000003,14.2
495260338,0.65125,CA,4.97,3.97,0.9999999999999996,20.1
495260797,0.69125,CA,5.02,4.0,1.0199999999999996,20.3
495261247,0.65125,FL,5.38,4.18,1.2000000000000002,22.3
495261595,0.22125,MA,3.88,3.45,0.4299999999999997,11.1
495261751,0.124375,VA,3.87,4.07,-0.20000000000000018,-5.2
495261761,0.22125,TX,3.86,3.41,0.44999999999999973,11.7
495262194,0.46125,VA,4.46,4.35,0.11000000000000032,2.5
495262254,0.265,TN,3.87,4.35,-0.47999999999999954,-12.4
495263013,0.069375,CT,3.87,4.07,-0.20000000000000018,-5.2
495263328,0.225,MS,3.87,4.07,-0.20000000000000018,-5.2
495263630,0.69875,CA,4.78,4.0,0.7800000000000002,16.3
495263840,1.27,PA,6.89,6.4,0.4899999999999993,7.1
495264024,0.22125,MO,3.86,4.07,-0.2100000000000004,-5.4
495264189,0.069375,CA,3.84,3.29,0.5499999999999998,14.3
495264393,0.22125,IN,3.86,4.07,-0.2100000000000004,-5.4
495264430,0.22125,WI,4.41,4.07,0.33999999999999986,7.7
495264557,0.069375,OH,3.86,4.07,-0.2100000000000004,-5.4
495264820,0.069375,NV,3.84,3.92,-0.08000000000000007,-2.1
495264837,0.22125,OH,3.87,4.07,-0.20000000000000018,-5.2
495264926,0.46125,CA,3.89,3.53,0.3600000000000003,9.3
495265132,0.069375,UT,3.83,3.87,-0.040000000000000036,-1.0
495265377,0.069375,OK,3.85,4.02,-0.16999999999999948,-4.4
495265441,0.069375,CA,3.84,3.29,0.5499999999999998,14.3
495265644,0.4175,MN,3.88,4.35,-0.46999999999999975,-12.1
495266016,0.46125,GA,3.9,3.68,0.21999999999999975,5.6
495266052,0.22125,CA,3.85,3.39,0.45999999999999996,11.9
495266199,0.069375,AR,3.85,4.07,-0.2200000000000002,-5.7
495266395,0.069375,CA,3.84,3.29,0.5499999999999998,14.3
495266533,0.22125,CA,3.85,3.39,0.45999999999999996,11.9
495266763,0.069375,MI,3.86,4.07,-0.2100000000000004,-5.4
495266878,0.069375,IA,4.4,4.07,0.33000000000000007,7.5
495267046,0.46125,WA,4.44,3.53,0.9100000000000006,20.5
495267147,0.069375,CA,3.84,3.29,0.5499999999999998,14.3
495267170,0.069375,NJ,3.87,3.32,0.5500000000000003,14.2
495267423,0.22125,NY,3.88,3.45,0.4299999999999997,11.1
495267428,0.065,SC,3.86,4.07,-0.2100000000000004,-5.4
495267824,1.02,WA,6.84,5.27,1.5700000000000003,23.0
495267898,0.46125,UT,3.87,4.15,-0.28000000000000025,-7.2
495268217,0.265,CA,4.41,3.44,0.9700000000000002,22.0
495268223,1.27,RI,7.3,6.4,0.8999999999999995,12.3
495268416,0.065,TX,4.4,3.29,1.1100000000000003,25.2
495268907,0.265,MD,4.44,4.35,0.09000000000000075,2.0
495269344,0.46125,CA,4.44,3.53,0.9100000000000006,20.5
495269357,0.125,CO,3.84,3.92,-0.08000000000000007,-2.1
495270394,0.595,CA,4.71,3.91,0.7999999999999998,17.0
495270565,0.265,CA,3.86,3.44,0.41999999999999993,10.9
495270598,0.025,IN,3.84,4.07,-0.23000000000000043,-6.0
495270977,0.265,IN,3.87,4.35,-0.47999999999999954,-12.4
495270995,0.125,MD,3.87,4.07,-0.20000000000000018,-5.2
495271246,0.505625,AZ,5.24,3.82,1.4200000000000004,27.1
495271309,0.069375,WA,3.85,3.29,0.56,14.5
495271741,0.46125,GA,3.9,3.68,0.21999999999999975,5.6
495271859,1.08,TN,6.74,6.4,0.33999999999999986,5.0
495272297,1.0075,NH,8.1,6.4,1.6999999999999993,21.0
495272336,0.025,ME,3.86,4.07,-0.2100000000000004,-5.4
495272729,0.254375,AL,3.88,4.35,-0.46999999999999975,-12.1
495272816,0.46125,OR,4.44,4.25,0.1900000000000004,4.3
495273031,0.069375,OH,3.86,4.07,-0.2100000000000004,-5.4
495273338,0.309375,CA,3.86,3.44,0.41999999999999993,10.9
495273386,0.069375,TN,3.86,4.07,-0.2100000000000004,-5.4
495273661,0.069375,UT,3.83,3.87,-0.040000000000000036,-1.0
495273716,0.069375,CA,3.84,3.29,0.5499999999999998,14.3
495274226,0.265,IL,4.42,3.52,0.8999999999999999,20.4
495274312,0.46125,CA,3.88,3.53,0.3500000000000001,9.0
495274680,0.069375,CA,4.39,3.29,1.0999999999999996,25.1
495274937,0.46125,NV,3.88,4.22,-0.33999999999999986,-8.8
495275005,0.57125,NY,5.83,4.07,1.7599999999999998,30.2
495275134,0.265,GA,3.88,3.52,0.3599999999999999,9.3
495275314,0.405,FL,3.9,3.64,0.2599999999999998,6.7
495275679,0.069375,KS,4.39,4.02,0.3700000000000001,8.4
495275922,0.02,NY,3.86,3.24,0.6199999999999997,16.1
495276047,0.6575,TX,4.97,4.08,0.8899999999999997,17.9
495276081,0.46125,TX,4.44,3.61,0.8300000000000005,18.7
495276709,0.46125,PA,4.46,4.35,0.11000000000000032,2.5
495276904,0.02,MA,3.86,3.24,0.6199999999999997,16.1
495277411,0.069375,ID,3.84,3.92,-0.08000000000000007,-2.1
495278449,0.065,OR,3.85,3.93,-0.08000000000000007,-2.1
495278959,0.069375,TX,3.85,3.29,0.56,14.5
495279612,0.069375,NY,4.42,3.32,1.1,24.9
495280022,0.069375,OK,3.85,4.02,-0.16999999999999948,-4.4
495280651,0.46125,LA,3.89,4.35,-0.4599999999999995,-11.8
495281242,0.069375,MD,3.87,4.07,-0.20000000000000018,-5.2
495281634,0.46125,MO,4.44,4.35,0.09000000000000075,2.0
495282058,0.125,MT,4.39,3.93,0.4599999999999995,10.5
495282356,0.058125,CO,3.83,3.91,-0.08000000000000007,-2.1
495282393,0.135,OK,3.85,4.02,-0.16999999999999948,-4.4
495282711,0.1175,GA,3.86,3.32,0.54,14.0
495282731,0.135,TX,3.85,3.35,0.5,13.0
495283071,0.225,AL,4.41,4.07,0.33999999999999986,7.7
