TransactionDate,OrginZip,DestZip,Weight,WeightUnit,ServiceDesc
9/27/2024,43125,11217,0.98,L,Mail Innovations
9/27/2024,43125,10002,0.6,L,Mail Innovations
9/27/2024,43125,60465,0.46,L,Mail Innovations
9/27/2024,43125,61011,0.82,L,Mail Innovations
9/27/2024,43125,29530,0.86,L,Mail Innovations
9/27/2024,43125,63114,0.56,L,Mail Innovations
9/27/2024,43125,84601,0.52,L,Mail Innovations
9/27/2024,43125,21218,0.72,L,Mail Innovations
9/27/2024,43125,85086,0.44,L,Mail Innovations
9/27/2024,43125,55920,0.7,L,Mail Innovations
9/27/2024,43125,84062,0.52,L,Mail Innovations
9/27/2024,43125,94103,0.42,L,Mail Innovations
9/27/2024,43125,6469,0.6,L,Mail Innovations
9/27/2024,43125,72401,0.44,L,Mail Innovations
9/27/2024,43125,53081,0.44,L,Mail Innovations
9/27/2024,43125,90036,0.44,L,Mail Innovations
9/27/2024,43125,81505,0.86,L,Mail Innovations
9/27/2024,43125,4092,0.82,L,Mail Innovations
9/27/2024,43125,52001,0.42,L,Mail Innovations
9/27/2024,43125,27713,0.84,L,Mail Innovations
9/27/2024,43125,54650,0.7,L,Mail Innovations
9/27/2024,43125,64701,0.46,L,Mail Innovations
9/27/2024,43125,79706,0.08,L,Mail Innovations
9/27/2024,43125,30314,0.72,L,Mail Innovations
9/27/2024,43125,34974,0.08,L,Mail Innovations
9/27/2024,43125,64506,0.63,L,Mail Innovations
9/27/2024,43125,32114,0.96,L,Mail Innovations
9/27/2024,43125,35085,0.9,L,Mail Innovations
9/27/2024,43125,68127,0.42,L,Mail Innovations
9/27/2024,43125,88240,0.42,L,Mail Innovations
9/27/2024,43125,90266,0.85,L,Mail Innovations
9/27/2024,43125,7105,0.85,L,Mail Innovations
9/27/2024,43125,6111,0.42,L,Mail Innovations
9/27/2024,43125,92805,0.08,L,Mail Innovations
9/30/2024,43125,81082,0.09,L,Mail Innovations
9/30/2024,43125,52246,1.05,L,Mail Innovations
9/30/2024,43125,57580,1.02,L,Mail Innovations
9/30/2024,43125,20017,1.11,L,Mail Innovations
9/30/2024,43125,89121,1.04,L,Mail Innovations
9/30/2024,43125,95124,1.06,L,Mail Innovations
9/30/2024,43125,50021,1.04,L,Mail Innovations
9/30/2024,43125,33647,1.11,L,Mail Innovations
9/30/2024,43125,74114,1.05,L,Mail Innovations
9/30/2024,43125,34481,1.05,L,Mail Innovations
10/2/2024,43125,77459,1.47,L,Mail Innovations
10/2/2024,43125,84335,1.06,L,Mail Innovations
10/2/2024,43125,95050,1.04,L,Mail Innovations
10/4/2024,43125,80504,1.26,L,Mail Innovations
10/4/2024,43125,34787,1.04,L,Mail Innovations
10/4/2024,43125,53147,1.12,L,Mail Innovations
10/4/2024,43125,29678,1.04,L,Mail Innovations
10/4/2024,43125,30303,1,L,Mail Innovations
9/30/2024,43125,93730,0.92,L,Mail Innovations
9/30/2024,43125,94107,0.41,L,Mail Innovations
9/30/2024,43125,27607,0.42,L,Mail Innovations
9/30/2024,43125,92064,0.57,L,Mail Innovations
9/30/2024,43125,30041,0.57,L,Mail Innovations
9/30/2024,43125,10594,0.53,L,Mail Innovations
9/30/2024,43125,20002,0.91,L,Mail Innovations
9/30/2024,43125,34638,0.6,L,Mail Innovations
9/30/2024,43125,8406,0.94,L,Mail Innovations
9/30/2024,43125,98105,0.95,L,Mail Innovations
9/30/2024,43125,32754,0.87,L,Mail Innovations
9/30/2024,43125,97402,0.9,L,Mail Innovations
9/30/2024,43125,2743,0.8,L,Mail Innovations
9/30/2024,43125,89511,0.44,L,Mail Innovations
9/30/2024,43125,32162,0.54,L,Mail Innovations
9/30/2024,43125,2557,0.59,L,Mail Innovations
9/30/2024,43125,62901,0.42,L,Mail Innovations
9/30/2024,43125,90254,0.48,L,Mail Innovations
9/30/2024,43125,10003,0.88,L,Mail Innovations
9/30/2024,43125,2035,0.62,L,Mail Innovations
9/30/2024,43125,19803,0.84,L,Mail Innovations
9/30/2024,43125,1420,0.94,L,Mail Innovations
9/30/2024,43125,2062,0.53,L,Mail Innovations
9/30/2024,43125,77034,0.43,L,Mail Innovations
9/30/2024,43125,92376,0.43,L,Mail Innovations
9/30/2024,43125,6070,0.82,L,Mail Innovations
9/30/2024,43125,77034,0.43,L,Mail Innovations
9/30/2024,43125,80209,0.53,L,Mail Innovations
9/30/2024,43125,78208,0.82,L,Mail Innovations
9/30/2024,43125,27614,0.61,L,Mail Innovations
9/30/2024,43125,20018,0.99,L,Mail Innovations
9/30/2024,43125,27106,0.42,L,Mail Innovations
9/30/2024,43125,3570,0.93,L,Mail Innovations
9/30/2024,43125,32541,0.57,L,Mail Innovations
9/30/2024,43125,14226,0.6,L,Mail Innovations
9/30/2024,43125,93710,0.81,L,Mail Innovations
9/30/2024,43125,24501,0.43,L,Mail Innovations
9/30/2024,43125,94122,0.6,L,Mail Innovations
9/30/2024,43125,32071,0.96,L,Mail Innovations
9/30/2024,43125,39531,0.61,L,Mail Innovations
9/30/2024,43125,77429,0.85,L,Mail Innovations
9/30/2024,43125,43723,0.84,L,Mail Innovations
9/30/2024,43125,85288,0.43,L,Mail Innovations
9/30/2024,43125,86001,0.43,L,Mail Innovations
9/30/2024,43125,78254,0.43,L,Mail Innovations
9/30/2024,43125,14454,0.86,L,Mail Innovations
9/30/2024,43125,28134,0.43,L,Mail Innovations
9/30/2024,43125,48229,0.59,L,Mail Innovations
9/30/2024,43125,16801,0.43,L,Mail Innovations
9/30/2024,43125,27105,0.98,L,Mail Innovations
9/30/2024,43125,32601,0.52,L,Mail Innovations
9/30/2024,43125,22046,0.95,L,Mail Innovations
9/30/2024,43125,19010,0.86,L,Mail Innovations
9/30/2024,43125,90021,0.81,L,Mail Innovations
9/30/2024,43125,62040,0.56,L,Mail Innovations
9/30/2024,43125,64060,0.43,L,Mail Innovations
9/30/2024,43125,5452,0.55,L,Mail Innovations
